 0.00      0.00000
 0.0002   -0.00233
 0.0005   -0.00388
 0.001    -0.00472
 0.002    -0.00651
 0.0035   -0.00844
 0.005    -0.00995
 0.0065   -0.01120
 0.008    -0.01227
 0.01     -0.01350
 0.0125   -0.01482
 0.016    -0.01634
 0.02     -0.01777
 0.025    -0.01922
 0.035    -0.02137
 0.05     -0.02365
 0.065    -0.02549
 0.08     -0.02710
 0.10     -0.02902
 0.125    -0.03104
 0.15     -0.03277
 0.20     -0.03551
 0.25     -0.03727
 0.30     -0.03828
 0.35     -0.03866
 0.40     -0.03848
 0.45     -0.03782
 0.50     -0.03665
 0.55     -0.03501
 0.60     -0.03297
 0.65     -0.03056
 0.70     -0.02785
 0.75     -0.02486
 0.80     -0.02153
 0.85     -0.01786
 0.90     -0.01374
 0.925    -0.01144
 0.95     -0.00888
 0.975    -0.00603
 0.99     -0.00421
 1.000    -0.00300
