 0.00      0.00
 0.0002    0.00238
 0.0005    0.00377
 0.001     0.00541
 0.002     0.00766
 0.0035    0.01013
 0.005     0.01214
 0.0065    0.01388
 0.008     0.01543
 0.01      0.01732
 0.0125    0.01945
 0.016     0.02214
 0.02      0.02490
 0.025     0.02801
 0.035     0.03335
 0.05      0.03991
 0.065     0.04523
 0.08      0.04961
 0.10      0.05421
 0.125     0.05829
 0.15      0.06098
 0.20      0.06344
 0.25      0.06431
 0.30      0.06446
 0.35      0.06409
 0.40      0.06316
 0.45      0.06154
 0.50      0.05924
 0.55      0.05623
 0.60      0.05249
 0.65      0.04792
 0.70      0.04246
 0.75      0.03600
 0.80      0.02860
 0.85      0.02064
 0.90      0.01260
 0.925     0.00899
 0.95      0.00598
 0.975     0.00392
 0.99      0.00322
 1.000     0.00299
